title,description,publisher,developer,age,effective_date,platforms,price
Among Trees,Among Trees,FJRD Interactive,,,2099-01-01T00:00:00.000Z,Windows,0
Flower,Flower,Annapurna Interactive,,,2019-02-14T16:00:00.000Z,Windows,$6.99
Metro: 2033 Redux,Metro: 2033 Redux,Deep Silver,,18.0,2019-09-24T10:29:00.000Z,Windows,$19.99
Metro: Last Light Redux,Metro: Last Light Redux,Deep Silver,,18.0,2019-05-13T15:00:00.000Z,Windows,$19.99
The Crew 2,The Crew 2 Standard Edition,Ubisoft,,,2019-12-04T11:00:00.000Z,Windows,$59.99
Nuclear Throne,Nuclear Throne,Ubisoft,,,2019-11-07T16:00:00.000Z,Windows,$11.99
Arise: A Simple Story,Arise A Simple Story,Techland,,,2019-12-02T16:00:00.000Z,Windows,$19.99
Battle Breakers,Battle Breakers,Techland,,,2019-11-13T18:00:00.000Z,,0
South Park: The Fractured But Whole,South Park: The Fractured But Whole Standard Edition,Techland,,18.0,2019-12-20T16:00:00.000Z,Windows,$49.99
SOMA,SOMA,Frictional Games,,18.0,2019-10-31T15:00:00.000Z,"Windows,Mac",$29.99
Phantom Brigade,Phantom Brigade,Frictional Games,,,2099-01-01T00:00:00.000Z,Windows,0
Manifold Garden,Manifold Garden,Frictional Games,,,2019-10-11T00:00:00.000Z,Windows,$19.99
Far Cry 5,Far Cry 5 Standard Edition,Frictional Games,,18.0,2020-02-07T00:00:00.000Z,,$59.99
Far Cry New Dawn,Far Cry New Dawn Standard Edition,Frictional Games,,18.0,2020-02-07T16:00:00.000Z,,$39.99
Falcon Age,Falcon Age,Frictional Games,,,2019-09-05T10:55:00.000Z,Windows,$19.99
Assassin's Creed Origins,Assassin's Creed Origins,Frictional Games,,18.0,2019-11-27T16:00:00.000Z,,$59.99
Assassin's Creed III Remastered,Assassin's Creed III Remastered,Frictional Games,,18.0,2019-10-22T15:00:00.000Z,,$39.99
Cyberpunk 2077,Cyberpunk 2077 Pre-Purchase,Frictional Games,,18.0,2019-06-12T16:00:00.000Z,Windows,$59.99
Mutant Year Zero: Road To Eden,Mutant Year Zero,Funcom,,15.0,2019-08-14T00:00:00.000Z,Windows,$34.99
Far Cry 4,Far Cry 4 Standard Edition,Funcom,,18.0,2020-02-04T16:00:00.000Z,Windows,$29.99
A Knights Quest,A Knights Quest,Curve Digital,,,2019-10-09T13:00:00.000Z,Windows,$24.99
Far Cry 3 Blood Dragon,Far Cry 3 Blood Dragon,Curve Digital,,18.0,2020-02-18T16:00:00.000Z,Windows,$14.99
Before We Leave,Before We Leave,Balancing Monkey Games,,,2020-05-07T14:00:00.000Z,Windows,$19.99
Auto Chess,Auto Chess,Balancing Monkey Games,,,2019-08-23T15:00:00.000Z,"Windows,Win32",0
WHAT THE GOLF?,WHAT THE GOLF?,Balancing Monkey Games,,,2019-09-20T00:00:00.000Z,"Windows,Mac",$19.99
Tom Clancy's Rainbow Six Quarantine,Rainbow Six Quarantine,Balancing Monkey Games,,,2099-01-01T00:00:00.000Z,Windows,0
Far Cry 3,Far Cry 3,Balancing Monkey Games,,18.0,2020-02-07T00:00:00.000Z,,$19.99
South Park: The Stick of Truth,South Park: The Stick of Truth,Balancing Monkey Games,,18.0,2019-12-20T16:00:00.000Z,Windows,$29.99
Star Wars Jedi: Fallen Order,Star Wars Jedi Fallen Order,Electronic Arts,,,2019-11-14T05:00:00.000Z,,$59.99
Rainbow Six Siege,Rainbow Six Siege Standard Edition Y5,Electronic Arts,,18.0,2019-08-19T00:00:00.000Z,Windows,$19.99
Inside,Inside,Electronic Arts,,18.0,2019-08-29T15:00:00.000Z,Windows,$19.99
Foregone,Foregone,Big Blue Bubble,,,2019-01-01T01:00:00.000Z,Windows,$24.99
Surgeon Simulator 2,Surgeon Simulator 2,Bossa,,,2099-01-01T00:00:00.000Z,Windows,0
The Red Lantern,The Red Lantern,Timberline Studio,,,2099-01-01T00:00:00.000Z,,0
The Telltale Batman Shadows Edition,The Telltale Batman Shadows Edition,Athlon Games,,,2019-12-16T09:00:00.000Z,Windows,$29.99
ABZU,ABZU,505 Games,,,2019-09-04T00:00:00.000Z,Windows,$19.99
Magic The Gathering Arena,Magic: The Gathering Arena,505 Games,,,2020-01-16T18:00:00.000Z,"Windows,Win32",0
ReadySet Heroes,ReadySet Heroes,Sony Interactive Entertainment,,,2019-10-29T00:00:00.000Z,Windows,$19.99
Wattam,Wattam,Annapurna Interactive,,,2019-12-16T11:00:00.000Z,Windows,$19.99
The Walking Dead: The Telltale Definitive Series,TWD: The Telltale Definitive Series,Skybound Entertainment,,,2019-09-06T00:00:00.000Z,Windows,$49.99
The Jackbox Party Pack 6,The Jackbox Party Pack 6,Jackbox Games,,,2019-10-17T15:00:00.000Z,"Windows,Mac",$29.99
Everything,Everything,Jackbox Games,,,2019-09-20T00:00:00.000Z,Windows,$14.99
Bee Simulator,Bee Simulator,Bigben Interactive,,,2019-11-13T18:00:00.000Z,Windows,$39.99
Batman™: Arkham Knight,Batman™ Arkham Knight,Warner Bros.,,18.0,2019-09-26T15:00:00.000Z,Windows,$19.99
LEGO® Batman™ 2: DC Super Heroes,LEGO® Batman™ 2 DC Super Heroes,Warner Bros.,,,2019-09-26T15:00:00.000Z,Windows,$19.99
Yaga,Yaga,Versus Evil,,18.0,2019-11-01T00:00:00.000Z,Windows,$24.99
Death Stranding,Death Stranding Pre-Purchase,505 Games S.r.l.,,18.0,2019-11-01T10:00:00.000Z,Windows,$59.99
Cardpocalypse,Cardpocalypse,Versus Evil,,,2019-09-13T06:00:00.000Z,Windows,$24.99
No Straight Roads,No Straight Roads Pre-Purchase,Sold-Out Software,,,2019-08-28T14:00:00.000Z,Windows,$39.99
Bloodroots,Bloodroots,Sold-Out Software,,,2020-02-27T16:00:00.000Z,Windows,$19.99
Rogue Company,Rogue Company,Sold-Out Software,,,2099-01-01T00:00:00.000Z,Windows,0
Superliminal,Superliminal,Sold-Out Software,,,2019-11-01T00:00:00.000Z,Windows,$19.99
SuperMash,SuperMash,Sold-Out Software,,,2019-12-09T16:00:00.000Z,Windows,$19.99
RUINER,RUINER,Devolver Digital,,18.0,2019-11-07T16:00:00.000Z,Windows,$19.99
Surviving the Aftermath,Surviving the Aftermath,Paradox Interactive AB,,,2019-10-18T00:00:00.000Z,Windows,$19.99
Alan Wake's American Nightmare,Alan Wake's American Nightmare,Paradox Interactive AB,,15.0,2019-10-17T15:00:00.000Z,Windows,$8.99
Airborne Kingdom,Airborne Kingdom,Paradox Interactive AB,,,2099-01-01T00:00:00.000Z,"Windows,Win32,Mac",0
The Messenger,The Messenger,Devolver Digital,,,2019-11-14T16:00:00.000Z,Windows,$19.99
LEGO® Batman™ The Videogame,LEGO® Batman™: The Videogame,Warner Bros.,,,2019-09-26T15:00:00.000Z,Windows,$19.99
LEGO® Batman™ 3: Beyond Gotham,LEGO® Batman™ 3 Beyond Gotham,Warner Bros.,,,2019-09-26T15:00:00.000Z,Windows,$19.99
Batman™: Arkham City - Game of the Year Edition,Batman™ Arkham City - Game of the Year Edition,Warner Bros.,,,2019-09-26T15:00:00.000Z,Windows,$19.99
Batman™ Arkham Asylum Game of the Year Edition,Batman™ Arkham Asylum Game of the Year Edition,Warner Bros.,,,2019-09-26T15:00:00.000Z,Windows,$19.99
The Settlers,The Settlers Standard Edition,Ubisoft,,,2019-08-19T00:00:00.000Z,Windows,$59.99
GNOG,GNOG,Double Fine,,,2019-08-02T00:00:00.000Z,"Windows,Mac",$9.99
Tetris® Effect,Tetris® Effect,"Enhance, Inc.",,,2019-08-02T00:00:00.000Z,Windows,$39.99
Mechwarrior 5,MechWarrior 5 Standard Version,"Enhance, Inc.",,,2019-12-09T11:00:00.000Z,Windows,$49.99
Q.U.B.E.2,Q.U.B.E. 2,Ten Hut Games,,,2019-10-23T15:00:00.000Z,Windows,$24.99
Moonlighter,Moonlighter,11 Bit Studios,,0.0,2019-07-25T10:00:00.000Z,"Windows,Mac",$19.99
This War of Mine,This War of Mine,11 Bit Studios,,18.0,2019-07-25T10:00:00.000Z,"Windows,Mac",$19.99
Alan Wake,Alan Wake,11 Bit Studios,,,2019-08-02T12:00:00.000Z,"Windows,Win32",$14.99
Torchlight,Torchlight,Perfect World Games,,18.0,2019-07-09T15:00:00.000Z,Windows,$14.99
Sherlock Holmes The Devil's Daughter,Sherlock Holmes: The Devil's Daughter,Bigben Interactive,,18.0,2019-06-21T12:00:00.000Z,Windows,$49.99
Untitled Goose Game,Untitled Goose Game,Panic,,,2019-09-13T00:00:00.000Z,"Windows,Mac",$19.99
Solar Ash Kingdom,Solar Ash Kingdom,Annapurna Interactive,,,2099-01-01T00:00:00.000Z,,0
The Eternal Cylinder,The Eternal Cylinder,Good Shepherd,,,2099-01-01T00:00:00.000Z,Windows,0
CastleStorm 2,CastleStorm 2,Good Shepherd,,,2099-01-01T00:00:00.000Z,Windows,0
Griftlands,Griftlands,Good Shepherd,,,2019-06-14T11:00:00.000Z,Windows,$14.99
Chivalry 2,Chivalry 2,Tripwire Interactive,,,2099-01-01T00:00:00.000Z,Windows,0
Atomicrops,Atomicrops,Raw Fury,,,2019-09-04T01:00:00.000Z,"Windows,Mac",$14.99
Shenmue III,Shenmue 3,Deep Silver,,18.0,2019-11-18T14:00:00.000Z,Windows,$49.99
Kingdom New Lands,Kingdom New Lands,Raw Fury,,,2019-01-01T00:00:00.000Z,"Windows,Mac",$14.99
The End is Nigh,The End is Nigh,Raw Fury,,18.0,2019-09-04T00:00:00.000Z,"Windows, Win32",$14.99
Tom Clancy's Ghost Recon Breakpoint,Ghost Recon Breakpoint Standard Edition,Raw Fury,,18.0,2019-06-01T08:00:00.000Z,Windows,$59.99
Borderlands 3,Borderlands 3 Standard Edition,2K,,18.0,2019-09-12T10:00:00.000Z,"Windows,Mac",$59.99
Rayman Legends,Rayman Legends,Ubisoft,,,2019-11-29T16:00:00.000Z,Windows,$29.99
Far Cry Primal,Far Cry Primal Standard Edition,Ubisoft,,18.0,2019-06-06T12:00:00.000Z,Windows,$29.99
Rune II,RUNE II - Warrior Pack,Ubisoft,,18.0,2019-07-26T11:00:00.000Z,Windows,$29.99
The Division 2,Tom Clancy's The Division 2 Standard Edition,Ubisoft,,18.0,2019-03-15T17:00:00.000Z,Windows,$29.99
Trials Rising,Trials Rising Standard Edition,Ubisoft,,,2019-09-06T00:00:00.000Z,,$24.99
Assassin's Creed Odyssey,Assassin's Creed Odyssey - Standard Edition,Ubisoft,,18.0,2019-10-22T15:00:00.000Z,,$59.99
Assassin's Creed Unity,Assassin's Creed Unity,Ubisoft,,18.0,2020-03-10T15:00:00.000Z,Windows,$29.99
Assassin's Creed Rogue,Assassin's Creed Rogue,Ubisoft,,18.0,2020-03-25T15:00:00.000Z,Windows,$19.99
Mount & Blade II: Bannerlord,"Mount & Blade II: Bannerlord, Mount and Blade,",TaleWorlds Entertainment,,,2099-01-01T00:00:00.000Z,Windows,0
Costume Quest,Costume Quest,Double Fine,,,2019-10-31T15:00:00.000Z,"Windows,Win32",$9.99
Ape Out,Ape Out,Devolver Digital,,,2019-12-23T16:00:00.000Z,Windows,$14.99
WRC 8 FIA World Rally Championship,WRC 8 FIA World Rally Championship,Bigben Interactive,,,2019-01-01T01:00:00.000Z,Windows,$49.99
City of Brass,City of Brass,Bigben Interactive,,12.0,2019-05-28T15:00:00.000Z,Windows,$19.99
Watch Dogs: Legion,Watch Dogs: Legion Standard Edition,Bigben Interactive,,18.0,2019-06-14T00:00:00.000Z,Windows,$59.99
The Escapists,The Escapists,Team17 Digital Limited,,,2019-12-12T16:00:00.000Z,Windows,$17.99
The Wolf Among Us,The Wolf Among Us,Athlon Games,,,2019-12-11T00:00:00.000Z,Windows,$14.99
Journey,Journey,Annapurna Interactive,,,2019-06-05T12:00:00.000Z,Windows,$14.99
Super Meat Boy Forever,Super Meat Boy Forever,Annapurna Interactive,,,2099-11-29T20:22:00.000Z,,0
Industries of Titan,Industries of Titan,Annapurna Interactive,,,2020-04-14T15:00:00.000Z,Windows,$29.99
Spellbreak,Spellbreak Beta Mage,Annapurna Interactive,,,2019-10-01T08:41:00.000Z,,$49.99
RiME,RiME,Six Foot,,0.0,2019-05-22T15:00:00.000Z,Windows,$29.99
Vampire: The Masquerade – Bloodlines 2,Vampire: The Masquerade – Bloodlines 2 Standard Edition Pre-Purchase,Paradox Interactive,,,2019-03-08T04:00:00.000Z,,$59.99
For The King,For The King,Curve Digital,,,2020-04-23T15:00:00.000Z,Windows,$19.99
Just Cause 4,Just Cause 4 Standard Edition,Square Enix,Avalanche Studios,18.0,2050-04-21T15:00:00.000Z,Windows,$29.99
Wheels of Aurelia,Wheels of Aurelia,Santa Ragione,,,2020-04-16T15:00:00.000Z,Windows,$9.99
Sherlock Holmes Crimes and Punishments,Sherlock Holmes Crimes and Punishments,Frogwares,,18.0,2020-04-09T15:00:00.000Z,Windows,$29.99
Close to the Sun,Close to the Sun,Wired Productions,,18.0,2019-05-01T17:30:00.000Z,Windows,$19.99
Saints Row®: The Third™ Remastered,Saints Row The Third Remastered  Pre-purchase,Deep Silver,,18.0,2020-04-06T14:00:00.000Z,Windows,$39.99
Trackmania Turbo,Trackmania Turbo,Deep Silver,,,2020-04-08T15:00:00.000Z,Windows,$39.99
Hob,Hob,Perfect World Entertainment,,,2020-04-02T15:00:00.000Z,Windows,$19.99
Journey To The Savage Planet,Journey To The Savage Planet,505 Games,,,2020-01-27T09:00:00.000Z,Windows,$29.99
Gone Home,Gone Home,The Fullbright Company,,18.0,2020-04-02T15:00:00.000Z,"Windows,Mac,Win32",$14.99
Samurai Shodown,Samurai Shodown,SNK,,18.0,2099-01-01T00:00:00.000Z,Windows,0
Saturnalia,Saturnalia,Santa Ragione,,,2099-01-01T00:00:00.000Z,Windows,0
The Walking Dead: A New Frontier,The Walking Dead: A New Frontier,Skybound Games,,,2019-03-23T05:00:00.000Z,Windows,$14.99
The Walking Dead: Season Two,The Walking Dead: Season Two,Skybound Games,,,2019-03-24T05:00:00.000Z,Windows,$14.99
The Walking Dead: Season One,The Walking Dead: Season One,Skybound Games,,,2019-03-24T05:00:00.000Z,Windows,$14.99
Ancestors The Humankind Odyssey,Ancestors: The Humankind Odyssey,Private Division,,15.0,2019-08-26T00:00:00.000Z,Windows,$39.99
Tormentor x Punisher,Tormentor X Punisher,Raw Fury,,18.0,2020-03-26T15:00:00.000Z,Windows,$7.99
Dread Nautical,Dread Nautical Pre-Purchase,Zen Studios,,,2020-03-23T09:00:00.000Z,Windows,$19.99
Figment,Figment,Bedtime Digital Games,,,2020-03-26T15:00:00.000Z,Windows,$19.99
The Outer Worlds,The Outer Worlds,Private Division,,18.0,2019-10-23T03:00:00.000Z,Windows,$59.99
Kine,Kine,Private Division,,,2019-10-11T12:00:00.000Z,Windows,$19.99
